feature_family,analysis,transfer_family,holdout,train_n,test_n,accuracy,balanced_accuracy,accuracy_delta_vs_frozen_full,balanced_accuracy_delta_vs_frozen_full
punctuation,P3,,poem,360,180,0.28888888888888886,0.2888888888888889,0.11111111111111108,0.11111111111111113
punctuation,P3,,pooled,0,540,0.2388888888888889,0.23888888888888885,0.014814814814814836,0.01481481481481478
punctuation,P4,phrasing,write,3599,1799,0.4130072262367982,0.4128242289111855,-0.22846025569760986,-0.2285971757710888
punctuation,P4,phrasing,compose,3599,1799,0.42579210672595885,0.4258992939427722,-0.23346303501945526,-0.23349312523225568
punctuation,P4,phrasing,gimme,3598,1800,0.38722222222222225,0.3872222222222222,-0.16999999999999993,-0.16999999999999998
punctuation,P4,phrasing,pooled,0,5398,0.4086698777324935,0.4086435545668026,-0.2106335679881437,-0.21067647179994226
punctuation,P4,length_cap,5,3599,1799,0.34296831573096165,0.3427777777777778,-0.1528627015008338,-0.1528966926793014
punctuation,P4,length_cap,10,3599,1799,0.36075597554196775,0.36086213303604603,-0.2128960533629794,-0.2128874024526199
punctuation,P4,length_cap,20,3598,1800,0.37,0.37000000000000005,-0.013333333333333364,-0.013333333333333253
punctuation,P4,length_cap,pooled,0,5398,0.35791033716191184,0.35791434927697446,-0.12634309003334565,-0.12635273760968968
nonstructural_style,P1,,,5398,180,0.43333333333333335,0.43333333333333335,-0.055555555555555525,-0.055555555555555525
nonstructural_style,P3,,story,360,180,0.24444444444444444,0.24444444444444446,0.0,0.0
nonstructural_style,P3,,animal,360,180,0.17222222222222222,0.1722222222222222,-0.07777777777777778,-0.0777777777777778
nonstructural_style,P3,,poem,360,180,0.19444444444444445,0.19444444444444442,0.016666666666666663,0.016666666666666635
nonstructural_style,P3,,pooled,0,540,0.2037037037037037,0.20370370370370372,-0.020370370370370372,-0.020370370370370344
nonstructural_style,P4,phrasing,write,3599,1799,0.5697609783212896,0.5696897064288369,-0.07170650361311848,-0.07173169825343739
nonstructural_style,P4,phrasing,compose,3599,1799,0.5808782657031685,0.5809810479375697,-0.07837687604224564,-0.07841137123745823
nonstructural_style,P4,phrasing,gimme,3598,1800,0.5244444444444445,0.5244444444444444,-0.032777777777777684,-0.032777777777777795
nonstructural_style,P4,phrasing,pooled,0,5398,0.5583549462763987,0.5583605240390558,-0.060948499444238524,-0.0609595023276891
