resample,train_n,test_n,accuracy,balanced_accuracy
284,90,90,0.5222222222222223,0.5222222222222223
285,90,90,0.5,0.5000000000000001
286,90,90,0.6111111111111112,0.611111111111111
287,90,90,0.6333333333333333,0.6333333333333333
288,90,90,0.5333333333333333,0.5333333333333333
289,90,90,0.6,0.6
290,90,90,0.5111111111111111,0.5111111111111112
291,90,90,0.6222222222222222,0.6222222222222222
292,90,90,0.6,0.6
293,90,90,0.5888888888888889,0.5888888888888889
294,90,90,0.5888888888888889,0.5888888888888889
295,90,90,0.6111111111111112,0.611111111111111
296,90,90,0.5666666666666667,0.5666666666666665
297,90,90,0.6,0.6
298,90,90,0.5555555555555556,0.5555555555555556
299,90,90,0.6444444444444445,0.6444444444444445
300,90,90,0.6222222222222222,0.6222222222222222
301,90,90,0.5777777777777777,0.5777777777777778
302,90,90,0.5333333333333333,0.5333333333333333
303,90,90,0.6,0.6
304,90,90,0.6222222222222222,0.6222222222222222
305,90,90,0.5111111111111111,0.5111111111111111
306,90,90,0.6222222222222222,0.6222222222222222
307,90,90,0.5444444444444444,0.5444444444444444
308,90,90,0.5111111111111111,0.5111111111111111
309,90,90,0.5777777777777777,0.5777777777777778
310,90,90,0.6111111111111112,0.6111111111111112
311,90,90,0.6111111111111112,0.6111111111111112
312,90,90,0.5666666666666667,0.5666666666666668
313,90,90,0.5888888888888889,0.5888888888888889
314,90,90,0.6222222222222222,0.6222222222222222
315,90,90,0.5888888888888889,0.5888888888888889
316,90,90,0.5888888888888889,0.5888888888888889
317,90,90,0.5111111111111111,0.5111111111111112
318,90,90,0.6555555555555556,0.6555555555555554
319,90,90,0.5777777777777777,0.5777777777777778
320,90,90,0.6,0.6
321,90,90,0.6,0.6
322,90,90,0.5,0.5
323,90,90,0.5777777777777777,0.5777777777777778
324,90,90,0.5555555555555556,0.5555555555555555
325,90,90,0.5888888888888889,0.5888888888888889
326,90,90,0.5222222222222223,0.5222222222222223
327,90,90,0.5777777777777777,0.5777777777777778
328,90,90,0.5222222222222223,0.5222222222222221
329,90,90,0.6222222222222222,0.6222222222222221
330,90,90,0.6333333333333333,0.6333333333333333
331,90,90,0.5777777777777777,0.5777777777777777
332,90,90,0.6444444444444445,0.6444444444444445
333,90,90,0.4888888888888889,0.48888888888888893
334,90,90,0.5444444444444444,0.5444444444444444
335,90,90,0.5555555555555556,0.5555555555555555
336,90,90,0.6111111111111112,0.611111111111111
337,90,90,0.5444444444444444,0.5444444444444444
338,90,90,0.5888888888888889,0.5888888888888889
339,90,90,0.6,0.6
340,90,90,0.5111111111111111,0.5111111111111111
341,90,90,0.6222222222222222,0.6222222222222222
342,90,90,0.5555555555555556,0.5555555555555556
343,90,90,0.5222222222222223,0.5222222222222223
344,90,90,0.5777777777777777,0.5777777777777778
345,90,90,0.5444444444444444,0.5444444444444444
346,90,90,0.5888888888888889,0.5888888888888889
347,90,90,0.5333333333333333,0.5333333333333333
348,90,90,0.5444444444444444,0.5444444444444444
349,90,90,0.5777777777777777,0.5777777777777778
350,90,90,0.5888888888888889,0.5888888888888889
351,90,90,0.5333333333333333,0.5333333333333333
352,90,90,0.6222222222222222,0.6222222222222222
353,90,90,0.5777777777777777,0.5777777777777778
354,90,90,0.6111111111111112,0.611111111111111
355,90,90,0.6555555555555556,0.6555555555555556
356,90,90,0.6111111111111112,0.611111111111111
357,90,90,0.5888888888888889,0.5888888888888889
358,90,90,0.5555555555555556,0.5555555555555556
359,90,90,0.6111111111111112,0.6111111111111112
360,90,90,0.5555555555555556,0.5555555555555557
361,90,90,0.5777777777777777,0.5777777777777778
362,90,90,0.5333333333333333,0.5333333333333333
363,90,90,0.5444444444444444,0.5444444444444444
364,90,90,0.5666666666666667,0.5666666666666668
365,90,90,0.5444444444444444,0.5444444444444444
366,90,90,0.6,0.6
367,90,90,0.5,0.49999999999999994
368,90,90,0.6111111111111112,0.611111111111111
369,90,90,0.5222222222222223,0.5222222222222223
370,90,90,0.6,0.6
371,90,90,0.6111111111111112,0.6111111111111112
372,90,90,0.5777777777777777,0.5777777777777778
373,90,90,0.5666666666666667,0.5666666666666667
374,90,90,0.6222222222222222,0.6222222222222221
375,90,90,0.5888888888888889,0.5888888888888889
376,90,90,0.5777777777777777,0.5777777777777778
377,90,90,0.5777777777777777,0.5777777777777778
378,90,90,0.5555555555555556,0.5555555555555556
379,90,90,0.5888888888888889,0.5888888888888889
380,90,90,0.5444444444444444,0.5444444444444444
381,90,90,0.6333333333333333,0.6333333333333333
382,90,90,0.6111111111111112,0.6111111111111112
383,90,90,0.6222222222222222,0.6222222222222223
384,90,90,0.6555555555555556,0.6555555555555556
385,90,90,0.5888888888888889,0.5888888888888889
386,90,90,0.5777777777777777,0.5777777777777778
387,90,90,0.5888888888888889,0.5888888888888889
388,90,90,0.6,0.6
389,90,90,0.5666666666666667,0.5666666666666667
390,90,90,0.5888888888888889,0.5888888888888889
391,90,90,0.6333333333333333,0.6333333333333333
392,90,90,0.6222222222222222,0.6222222222222222
393,90,90,0.5111111111111111,0.5111111111111112
394,90,90,0.6222222222222222,0.6222222222222222
395,90,90,0.5666666666666667,0.5666666666666668
396,90,90,0.6333333333333333,0.6333333333333333
397,90,90,0.6,0.6
398,90,90,0.5888888888888889,0.5888888888888889
399,90,90,0.5666666666666667,0.5666666666666667
400,90,90,0.6555555555555556,0.6555555555555556
401,90,90,0.5555555555555556,0.5555555555555555
402,90,90,0.5333333333333333,0.5333333333333333
403,90,90,0.5333333333333333,0.5333333333333333
404,90,90,0.5666666666666667,0.5666666666666668
405,90,90,0.6333333333333333,0.6333333333333333
406,90,90,0.6,0.6
407,90,90,0.6777777777777778,0.6777777777777779
408,90,90,0.5777777777777777,0.5777777777777778
409,90,90,0.5777777777777777,0.5777777777777778
410,90,90,0.6777777777777778,0.6777777777777777
411,90,90,0.5888888888888889,0.5888888888888889
412,90,90,0.5777777777777777,0.5777777777777778
413,90,90,0.5777777777777777,0.5777777777777778
414,90,90,0.5111111111111111,0.5111111111111112
415,90,90,0.5888888888888889,0.5888888888888889
416,90,90,0.6,0.6
417,90,90,0.6,0.6
418,90,90,0.6,0.6
419,90,90,0.5333333333333333,0.5333333333333333
420,90,90,0.5111111111111111,0.5111111111111111
421,90,90,0.5888888888888889,0.5888888888888889
422,90,90,0.5777777777777777,0.5777777777777778
423,90,90,0.5555555555555556,0.5555555555555557
424,90,90,0.6333333333333333,0.6333333333333334
425,90,90,0.5444444444444444,0.5444444444444445
426,90,90,0.5666666666666667,0.5666666666666667
427,90,90,0.5666666666666667,0.5666666666666668
428,90,90,0.5777777777777777,0.5777777777777778
429,90,90,0.5222222222222223,0.5222222222222223
430,90,90,0.6444444444444445,0.6444444444444444
431,90,90,0.6,0.6
432,90,90,0.5666666666666667,0.5666666666666667
433,90,90,0.5333333333333333,0.5333333333333333
434,90,90,0.6444444444444445,0.6444444444444445
435,90,90,0.6,0.6000000000000001
436,90,90,0.4888888888888889,0.48888888888888893
437,90,90,0.6777777777777778,0.6777777777777777
438,90,90,0.5666666666666667,0.5666666666666665
439,90,90,0.5333333333333333,0.5333333333333333
440,90,90,0.5222222222222223,0.5222222222222223
441,90,90,0.5666666666666667,0.5666666666666668
442,90,90,0.6222222222222222,0.6222222222222222
443,90,90,0.6,0.6000000000000001
444,90,90,0.6111111111111112,0.6111111111111112
445,90,90,0.5333333333333333,0.5333333333333333
446,90,90,0.5777777777777777,0.5777777777777778
447,90,90,0.5777777777777777,0.5777777777777778
448,90,90,0.6,0.6
449,90,90,0.6555555555555556,0.6555555555555556
450,90,90,0.6444444444444445,0.6444444444444445
451,90,90,0.6111111111111112,0.6111111111111112
452,90,90,0.5111111111111111,0.5111111111111111
453,90,90,0.6222222222222222,0.6222222222222222
454,90,90,0.6222222222222222,0.6222222222222222
455,90,90,0.5444444444444444,0.5444444444444444
456,90,90,0.5555555555555556,0.5555555555555555
457,90,90,0.5888888888888889,0.5888888888888889
458,90,90,0.7111111111111111,0.7111111111111111
459,90,90,0.6222222222222222,0.6222222222222222
460,90,90,0.5111111111111111,0.5111111111111111
461,90,90,0.5555555555555556,0.5555555555555555
462,90,90,0.6333333333333333,0.6333333333333333
463,90,90,0.5777777777777777,0.5777777777777778
464,90,90,0.6111111111111112,0.6111111111111112
465,90,90,0.5444444444444444,0.5444444444444444
466,90,90,0.5777777777777777,0.5777777777777778
467,90,90,0.5444444444444444,0.5444444444444444
468,90,90,0.6222222222222222,0.6222222222222222
469,90,90,0.5777777777777777,0.5777777777777778
470,90,90,0.5555555555555556,0.5555555555555556
471,90,90,0.6444444444444445,0.6444444444444445
472,90,90,0.5666666666666667,0.5666666666666665
473,90,90,0.6555555555555556,0.6555555555555556
474,90,90,0.5666666666666667,0.5666666666666667
475,90,90,0.6666666666666666,0.6666666666666666
476,90,90,0.5222222222222223,0.5222222222222221
477,90,90,0.5333333333333333,0.5333333333333333
478,90,90,0.6111111111111112,0.6111111111111112
479,90,90,0.6222222222222222,0.6222222222222222
480,90,90,0.5,0.5
481,90,90,0.6555555555555556,0.6555555555555556
482,90,90,0.5777777777777777,0.5777777777777778
483,90,90,0.5333333333333333,0.5333333333333333
484,90,90,0.6,0.6
485,90,90,0.6222222222222222,0.6222222222222222
486,90,90,0.5777777777777777,0.5777777777777778
487,90,90,0.5444444444444444,0.5444444444444444
488,90,90,0.6111111111111112,0.611111111111111
489,90,90,0.6,0.6
490,90,90,0.6,0.6
491,90,90,0.5777777777777777,0.5777777777777778
492,90,90,0.6222222222222222,0.6222222222222222
493,90,90,0.4888888888888889,0.4888888888888889
494,90,90,0.4777777777777778,0.4777777777777778
495,90,90,0.5555555555555556,0.5555555555555556
496,90,90,0.5777777777777777,0.5777777777777778
497,90,90,0.5777777777777777,0.5777777777777778
498,90,90,0.5666666666666667,0.5666666666666668
499,90,90,0.6333333333333333,0.6333333333333334
500,90,90,0.6444444444444445,0.6444444444444445
501,90,90,0.6222222222222222,0.6222222222222221
502,90,90,0.5111111111111111,0.5111111111111111
503,90,90,0.5555555555555556,0.5555555555555556
504,90,90,0.5333333333333333,0.5333333333333333
505,90,90,0.6,0.6
506,90,90,0.5666666666666667,0.5666666666666667
507,90,90,0.5555555555555556,0.5555555555555556
508,90,90,0.5555555555555556,0.5555555555555555
509,90,90,0.5222222222222223,0.5222222222222223
510,90,90,0.6333333333333333,0.6333333333333333
511,90,90,0.5111111111111111,0.5111111111111111
512,90,90,0.6,0.6000000000000001
513,90,90,0.5333333333333333,0.5333333333333333
514,90,90,0.5888888888888889,0.5888888888888889
515,90,90,0.6222222222222222,0.6222222222222222
516,90,90,0.5666666666666667,0.5666666666666668
517,90,90,0.5,0.5
518,90,90,0.5888888888888889,0.5888888888888889
519,90,90,0.5555555555555556,0.5555555555555555
520,90,90,0.5222222222222223,0.5222222222222223
521,90,90,0.5333333333333333,0.5333333333333333
522,90,90,0.5777777777777777,0.5777777777777778
523,90,90,0.6,0.6
524,90,90,0.5777777777777777,0.5777777777777778
525,90,90,0.5444444444444444,0.5444444444444444
526,90,90,0.6222222222222222,0.6222222222222221
527,90,90,0.5777777777777777,0.5777777777777778
528,90,90,0.5888888888888889,0.5888888888888889
529,90,90,0.5111111111111111,0.5111111111111111
530,90,90,0.5555555555555556,0.5555555555555556
531,90,90,0.5888888888888889,0.5888888888888889
532,90,90,0.5555555555555556,0.5555555555555555
533,90,90,0.5555555555555556,0.5555555555555556
534,90,90,0.5111111111111111,0.5111111111111112
535,90,90,0.5111111111111111,0.5111111111111111
536,90,90,0.5,0.5
537,90,90,0.6333333333333333,0.6333333333333334
538,90,90,0.6444444444444445,0.6444444444444444
539,90,90,0.6,0.6000000000000001
540,90,90,0.6333333333333333,0.6333333333333333
541,90,90,0.5777777777777777,0.5777777777777778
542,90,90,0.6111111111111112,0.6111111111111112
543,90,90,0.5777777777777777,0.5777777777777778
544,90,90,0.5111111111111111,0.5111111111111111
545,90,90,0.6,0.6
546,90,90,0.5888888888888889,0.5888888888888888
547,90,90,0.5666666666666667,0.5666666666666667
548,90,90,0.5777777777777777,0.5777777777777778
549,90,90,0.6111111111111112,0.6111111111111112
550,90,90,0.5888888888888889,0.5888888888888889
551,90,90,0.6222222222222222,0.6222222222222222
552,90,90,0.6111111111111112,0.611111111111111
553,90,90,0.5666666666666667,0.5666666666666668
554,90,90,0.5222222222222223,0.5222222222222223
555,90,90,0.4777777777777778,0.4777777777777777
556,90,90,0.5444444444444444,0.5444444444444444
557,90,90,0.6222222222222222,0.6222222222222221
558,90,90,0.6333333333333333,0.6333333333333333
559,90,90,0.6111111111111112,0.611111111111111
560,90,90,0.5444444444444444,0.5444444444444444
561,90,90,0.6111111111111112,0.6111111111111112
562,90,90,0.5444444444444444,0.5444444444444444
563,90,90,0.5888888888888889,0.5888888888888889
564,90,90,0.6222222222222222,0.6222222222222222
565,90,90,0.5777777777777777,0.5777777777777778
566,90,90,0.6222222222222222,0.6222222222222221
567,90,90,0.5666666666666667,0.5666666666666668
568,90,90,0.5333333333333333,0.5333333333333333
569,90,90,0.5888888888888889,0.5888888888888889
570,90,90,0.6222222222222222,0.6222222222222222
571,90,90,0.6111111111111112,0.6111111111111112
572,90,90,0.6111111111111112,0.611111111111111
573,90,90,0.5555555555555556,0.5555555555555555
574,90,90,0.5888888888888889,0.5888888888888889
575,90,90,0.5888888888888889,0.5888888888888889
576,90,90,0.5888888888888889,0.5888888888888889
577,90,90,0.5444444444444444,0.5444444444444444
578,90,90,0.5777777777777777,0.5777777777777778
579,90,90,0.5666666666666667,0.5666666666666668
580,90,90,0.6111111111111112,0.6111111111111112
581,90,90,0.4666666666666667,0.4666666666666666
582,90,90,0.5666666666666667,0.5666666666666667
583,90,90,0.6,0.6
584,90,90,0.6,0.6
585,90,90,0.5444444444444444,0.5444444444444444
586,90,90,0.6333333333333333,0.6333333333333333
587,90,90,0.5444444444444444,0.5444444444444444
588,90,90,0.5111111111111111,0.5111111111111112
589,90,90,0.4888888888888889,0.48888888888888893
590,90,90,0.5666666666666667,0.5666666666666668
591,90,90,0.6444444444444445,0.6444444444444445
592,90,90,0.5444444444444444,0.5444444444444445
593,90,90,0.5444444444444444,0.5444444444444444
594,90,90,0.6111111111111112,0.611111111111111
595,90,90,0.5444444444444444,0.5444444444444444
596,90,90,0.5444444444444444,0.5444444444444444
597,90,90,0.5555555555555556,0.5555555555555556
598,90,90,0.6111111111111112,0.611111111111111
599,90,90,0.5888888888888889,0.5888888888888889
600,90,90,0.5888888888888889,0.5888888888888889
601,90,90,0.6111111111111112,0.611111111111111
602,90,90,0.6444444444444445,0.6444444444444444
603,90,90,0.5222222222222223,0.5222222222222223
604,90,90,0.6,0.6
605,90,90,0.5111111111111111,0.5111111111111111
606,90,90,0.4777777777777778,0.4777777777777777
607,90,90,0.4888888888888889,0.4888888888888889
608,90,90,0.5555555555555556,0.5555555555555555
609,90,90,0.6333333333333333,0.6333333333333333
610,90,90,0.5444444444444444,0.5444444444444444
611,90,90,0.5444444444444444,0.5444444444444444
612,90,90,0.5555555555555556,0.5555555555555556
613,90,90,0.5888888888888889,0.5888888888888889
614,90,90,0.5444444444444444,0.5444444444444444
615,90,90,0.6,0.6
616,90,90,0.5555555555555556,0.5555555555555555
617,90,90,0.7111111111111111,0.7111111111111111
618,90,90,0.5222222222222223,0.5222222222222223
619,90,90,0.5555555555555556,0.5555555555555555
620,90,90,0.6888888888888889,0.6888888888888888
621,90,90,0.6,0.6
622,90,90,0.6222222222222222,0.6222222222222222
623,90,90,0.5777777777777777,0.5777777777777777
624,90,90,0.5555555555555556,0.5555555555555556
625,90,90,0.5222222222222223,0.5222222222222223
626,90,90,0.6111111111111112,0.611111111111111
627,90,90,0.5222222222222223,0.5222222222222223
628,90,90,0.6,0.6
629,90,90,0.6333333333333333,0.6333333333333333
630,90,90,0.5222222222222223,0.5222222222222223
631,90,90,0.6444444444444445,0.6444444444444444
632,90,90,0.5,0.5
633,90,90,0.6222222222222222,0.6222222222222222
634,90,90,0.6,0.6
635,90,90,0.5888888888888889,0.5888888888888889
636,90,90,0.6444444444444445,0.6444444444444444
637,90,90,0.5555555555555556,0.5555555555555555
638,90,90,0.6,0.6000000000000001
639,90,90,0.5555555555555556,0.5555555555555555
640,90,90,0.5777777777777777,0.5777777777777778
641,90,90,0.6,0.6
642,90,90,0.6777777777777778,0.6777777777777777
643,90,90,0.5888888888888889,0.5888888888888889
644,90,90,0.6,0.6
645,90,90,0.5888888888888889,0.5888888888888889
646,90,90,0.5666666666666667,0.5666666666666668
647,90,90,0.6333333333333333,0.6333333333333333
648,90,90,0.5666666666666667,0.5666666666666667
649,90,90,0.5888888888888889,0.5888888888888889
650,90,90,0.4888888888888889,0.4888888888888889
651,90,90,0.5777777777777777,0.5777777777777778
652,90,90,0.5666666666666667,0.5666666666666667
653,90,90,0.6333333333333333,0.6333333333333334
654,90,90,0.4777777777777778,0.4777777777777778
655,90,90,0.5777777777777777,0.5777777777777778
656,90,90,0.5777777777777777,0.5777777777777777
657,90,90,0.5777777777777777,0.5777777777777778
658,90,90,0.6222222222222222,0.6222222222222222
659,90,90,0.6555555555555556,0.6555555555555556
660,90,90,0.6333333333333333,0.6333333333333333
661,90,90,0.5111111111111111,0.5111111111111111
662,90,90,0.6666666666666666,0.6666666666666666
663,90,90,0.5777777777777777,0.5777777777777777
664,90,90,0.6111111111111112,0.6111111111111112
665,90,90,0.6444444444444445,0.6444444444444444
666,90,90,0.5666666666666667,0.5666666666666667
667,90,90,0.5666666666666667,0.5666666666666665
668,90,90,0.5888888888888889,0.5888888888888889
669,90,90,0.5666666666666667,0.5666666666666668
