blind_model,prompt_category,length_condition,anaphora_max_repeats_mean,anaphora_max_repeats_median,anaphora_word_top,anaphora_word_top_share,closer_ends_with_ellipsis_top,closer_ends_with_ellipsis_top_share,closer_ends_with_exclaim_top,closer_ends_with_exclaim_top_share,closer_ends_with_question_top,closer_ends_with_question_top_share,closer_is_longest_top,closer_is_longest_top_share,closer_is_shortest_top,closer_is_shortest_top_share,closer_starts_with_pivot_top,closer_starts_with_pivot_top_share,colon_count_mean,colon_count_median,constraint_compliant_alt_top,constraint_compliant_alt_top_share,ellipsis_count_mean,ellipsis_count_median,em_dash_count_mean,em_dash_count_median,ending_pivot_present_top,ending_pivot_present_top_share,first_sentence_len_mean,first_sentence_len_median,has_meta_preamble_top,has_meta_preamble_top_share,has_title_line_top,has_title_line_top_share,hedge_count_mean,hedge_count_median,intensifier_count_mean,intensifier_count_median,is_single_block_top,is_single_block_top_share,is_truncated_400ish_top,is_truncated_400ish_top_share,last_sentence_len_mean,last_sentence_len_median,line_count_nonempty_alt_mean,line_count_nonempty_alt_median,n,paragraph_count_mean,paragraph_count_median,repeated_bigram_types_mean,repeated_bigram_types_median,semicolon_count_mean,semicolon_count_median,sent_len_max_mean,sent_len_max_median,sent_len_mean_mean,sent_len_mean_median,sent_len_median_mean,sent_len_median_median,sent_len_std_mean,sent_len_std_median,sentence_count_alt_mean,sentence_count_alt_median,sentence_initial_top_word_top,sentence_initial_top_word_top_share,smart_quote_share_mean,smart_quote_share_median,very_long_sentence_share_mean,very_long_sentence_share_median,very_short_sentence_share_mean,very_short_sentence_share_median,word_count_mean,word_count_median
M2,animal,lt5,1.0,1.0,it,0.9,False,1.0,False,1.0,False,1.0,False,0.9,False,0.8,False,0.8,0.0,0.0,yes,1.0,0.0,0.0,0.0,0.0,False,0.6,16.4,16.5,False,1.0,False,1.0,0.0,0.0,0.0,0.0,True,1.0,False,1.0,15.0,15.5,1.0,1.0,10,1.0,1.0,0.1,0.0,0.0,0.0,17.5,18.0,15.15,15.25,15.2,15.25,2.0516,1.9436,4.0,4.0,the,0.7,0.6,1.0,0.0,0.0,0.0,0.0,60.6,61.0
M2,animal,open,1.7,2.0,the,0.5,False,1.0,False,1.0,False,1.0,False,0.7,False,1.0,False,1.0,4.6,5.5,not_applicable,1.0,0.0,0.0,3.2,3.0,True,1.0,27.9,26.0,False,1.0,False,0.6,0.8,1.0,0.0,0.0,False,1.0,False,1.0,28.6,28.5,9.9,10.5,10,5.6,6.0,3.3,3.0,0.2,0.0,40.2,43.5,26.623,27.8571,26.5,25.0,9.0556,9.4811,7.9,7.5,the,0.4,1.0,1.0,0.4573,0.4643,0.0,0.0,204.9,195.0
M2,poem,lt10,1.0,1.0,the,0.3,False,1.0,False,1.0,False,1.0,False,0.5,True,0.5,False,1.0,0.0,0.0,yes,1.0,0.0,0.0,1.2,1.0,False,0.7,17.5,13.5,False,1.0,False,0.9,0.0,0.0,0.0,0.0,True,1.0,False,1.0,15.2,14.0,6.2,6.0,10,1.0,1.0,0.0,0.0,0.4,0.0,19.6,19.0,16.4,16.25,16.4,16.25,4.3111,1.8046,2.5,2.5,beneath,0.8,0.9,1.0,0.1,0.0,0.0,0.0,39.2,38.0
M2,poem,lt5,0.3,0.0,,0.7,False,1.0,False,1.0,False,1.0,False,0.7,False,0.8,False,1.0,0.0,0.0,yes,1.0,0.0,0.0,0.9,1.0,False,0.8,20.8,23.0,False,1.0,False,1.0,0.1,0.0,0.0,0.0,True,1.0,False,1.0,21.0,23.0,4.0,4.0,10,1.0,1.0,0.0,0.0,0.7,1.0,21.0,23.0,20.9,23.0,20.9,23.0,0.1414,0.0,1.3,1.0,beneath,0.6,0.4,0.0,0.2,0.0,0.0,0.0,25.0,25.5
M2,poem,open,1.0,1.0,i,0.4,False,1.0,False,1.0,False,1.0,True,0.6,False,0.9,False,1.0,0.5,0.5,not_applicable,1.0,0.0,0.0,2.8,2.5,False,0.9,26.3,26.5,False,1.0,False,1.0,0.0,0.0,0.0,0.0,False,1.0,False,1.0,24.9,26.5,14.8,16.0,10,3.7,4.0,0.1,0.0,1.3,1.0,28.2,29.0,25.0533,25.5417,25.5,25.0,3.0101,2.1395,3.9,4.0,in,0.6,0.9,1.0,0.455,0.4,0.0,0.0,96.3,100.0
M2,story,lt10,1.2,1.0,she,0.7,False,1.0,False,1.0,False,1.0,False,0.8,False,0.8,False,1.0,0.6,0.5,yes,1.0,0.0,0.0,0.9,1.0,True,1.0,17.6,16.0,False,1.0,False,1.0,1.4,1.0,0.0,0.0,True,1.0,False,1.0,20.9,20.0,7.3,8.0,10,1.0,1.0,4.0,4.0,0.1,0.0,29.4,26.0,19.5786,19.5625,18.85,19.0,5.6002,3.6988,7.7,8.0,mara,0.9,1.0,1.0,0.1268,0.0625,0.0,0.0,149.2,152.0
M2,story,lt5,1.0,1.0,she,0.6,False,1.0,False,1.0,False,1.0,False,0.9,True,0.7,False,1.0,0.1,0.0,yes,1.0,0.0,0.0,0.7,1.0,True,0.6,21.8,21.5,False,1.0,False,1.0,0.5,0.0,0.0,0.0,True,1.0,False,1.0,17.1,18.0,1.6,1.0,10,1.0,1.0,1.0,1.0,0.0,0.0,23.4,23.0,19.55,19.0,19.35,19.5,3.2774,2.7663,3.9,4.0,mara,0.8,0.9,1.0,0.05,0.0,0.0,0.0,76.1,75.0
M2,story,open,5.1,5.0,the,0.9,False,1.0,False,1.0,False,1.0,False,1.0,False,0.6,False,0.9,1.9,2.0,not_applicable,1.0,0.0,0.0,4.8,4.5,True,0.9,20.7,21.0,False,1.0,False,1.0,3.3,3.0,0.0,0.0,False,1.0,True,1.0,6.8,4.5,12.8,13.0,10,12.6,13.0,11.5,11.5,0.3,0.0,32.6,31.5,12.8544,12.5,11.6,12.0,8.2855,8.0466,25.0,25.0,the,0.8,1.0,1.0,0.0786,0.0805,0.1658,0.1852,319.2,320.0
M3,animal,lt10,1.7,2.0,the,0.6,False,1.0,False,1.0,False,1.0,False,0.8,False,0.8,False,0.7,0.0,0.0,yes,1.0,0.0,0.0,0.4,0.0,True,0.6,18.2,18.5,False,1.0,True,1.0,0.1,0.0,0.1,0.0,False,1.0,False,1.0,17.5,17.5,2.0,2.0,10,2.0,2.0,1.8,1.0,0.0,0.0,22.8,24.0,17.6472,17.6875,17.75,18.25,3.3982,3.5023,8.1,8.0,the,0.9,0.0,0.0,0.0,0.0,0.0,0.0,142.9,145.5
M3,animal,lt5,1.0,1.0,it,0.4,False,1.0,False,1.0,False,1.0,False,1.0,False,0.8,False,0.9,0.0,0.0,yes,1.0,0.0,0.0,0.0,0.0,False,0.6,26.1,27.0,False,1.0,True,1.0,0.1,0.0,0.0,0.0,False,1.0,False,1.0,20.7,20.5,2.0,2.0,10,2.0,2.0,1.4,1.0,0.0,0.0,26.3,27.0,20.775,21.125,20.45,21.0,4.6559,4.9665,3.9,4.0,the,1.0,0.0,0.0,0.1833,0.25,0.0,0.0,80.9,79.5
